Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Bolivia,BOL,..,..,..,81.9059093048557,89.8767700122242,91.5259228574796,99.6179882581337,96.3934095564893,110.785643659582,111.453476937063,255.543726787848,301.112152986407,325.379230191498,366.700528037692,415.966182828553,435.281897772503,457.868345741481,..
Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,Argentina,ARG,..,..,..,45.2376709,44.94721985,43.47652054,44.9441185,41.91094589,47.39781952,47.07147217,34.04805756,33.00239944,37.58023834,36.36763763,36.92702103,35.78461456,33.44421768,..
Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,Colombia,COL,..,..,..,25.44912529,24.90193558,22.91945457,20.76104736,25.22247505,27.22987747,27.20326614,29.59565544,29.16895485,29.67050934,28.95903969,28.38554382,28.87286377,27.34048843,..
Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,Costa Rica,CRI,..,..,..,33.96525574,33.18317795,32.75107193,33.28980637,33.75152206,35.86635208,33.80148697,28.95439339,27.28744316,26.64774513,26.43719292,27.59983826,27.46307373,28.05780602,..
Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,Bolivia,BOL,..,..,..,38.41328812,39.42514801,39.88735962,38.06578445,38.65198517,38.11709595,38.23095703,34.70809174,31.18536568,31.94018936,29.1684227,25.7176609,27.77645111,25.28781509,..
Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,Argentina,ARG,..,..,..,318.90111372,301.76146546,96.79938401,117.29634879,130.01611212,185.23281313,213.53471545,436.02443725,503.30412412,431.91468991,554.82141153,414.49653503,343.00392751,288.86250667,..
Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,Colombia,COL,..,..,..,34.17445218,34.37568811,30.20413769,26.85127457,40.15259546,56.97934555,65.12165724,173.6312485,136.68237072,132.69714475,143.43326264,146.79824188,150.87493216,130.48925648,..
Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,Costa Rica,CRI,..,..,..,84.13258037,84.67759381,90.47062204,95.66606885,97.92447962,111.01147257,121.61521004,238.26861445,238.86058907,232.03214126,225.70764909,249.01156012,251.25547301,267.41405897,..
Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,Bolivia,BOL,..,..,..,16.50177675,17.70841549,17.34699295,17.6534762,17.89327001,19.69517529,21.38402915,61.85286921,60.78776425,65.77201377,62.09348717,58.95140872,66.43445109,60.97352765,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Argentina,ARG,..,..,..,480.454832159773,469.75173608569,359.334864556831,380.072077098788,368.366574187984,487.24788565659,535.179147088312,645.825565568364,676.773876820818,685.776881368895,895.925148075538,818.558658928776,782.906128614179,698.823048742983,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Colombia,COL,..,..,..,96.1098578135052,101.43302036294,92.354637753762,87.8887416288301,114.330520768224,137.536486463485,155.716289929271,281.916401096094,290.669274062038,312.194688129889,318.759953596153,328.169032579813,368.409194419939,365.230240670806,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Costa Rica,CRI,..,..,..,174.043725363892,174.103539835471,188.308068664109,203.090138537152,206.890899846404,233.471774943334,249.590009851009,352.934522057929,350.63087953544,368.489872741881,375.64543932504,425.190869562185,445.57774465592,487.489036970916,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Bolivia,BOL,..,..,..,56.8646722318537,65.4077688394462,68.6956320982981,71.5373794174207,71.4612889135066,77.811662129713,76.0604613648038,141.629540498755,142.838026242278,160.328319197164,156.083959329417,147.243500475882,170.074763663217,161.050063362823,..
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,Colombia,COL,13.4,..,..,25.1197,..,..,..,..,46.8,..,..,36.1,36.67297,..,..,..,..,..
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,18.7,..,..,..,..,25.2885,..,..,..
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,Bolivia,BOL,..,50.6,..,38.57903,..,..,53.6,53.54473,..,..,..,..,55.65824,..,..,..,..,..
External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,Argentina,ARG,..,..,..,0.03062808,0.2007374,1.96734297,0.34346449,6.29007864,1.18307579,0.32621667,0.52839446,0.28386176,0.30856231,0.4337922,0.30367181,0.24146576,0.28700885,..
External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,Colombia,COL,..,..,..,0.01743398,0.04688538,0.89291525,1.85931981,1.24555624,0.94975674,0.71166968,..,..,..,..,..,..,..,..
External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,Costa Rica,CRI,..,..,..,1.1117444,1.260198,0.38723284,0.33544725,0.23138919,0.17699823,0.08924608,0.02410425,0.00636806,0.02836165,0.05353978,0.0062117,0.00104268,0.13579112,..
External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,Bolivia,BOL,..,..,..,6.25753689,6.40078497,6.96912527,8.92644691,9.21074009,7.61305428,5.74817848,2.66771841,3.0737884,3.23860908,2.30387115,1.62937176,1.13371396,2.81845069,..
External health expenditure channeled through government (% of external health expenditure),SH.XPD.EHEX.EH.ZS,Argentina,ARG,..,..,..,12.5,9.90359029350534,0.196721182511452,6.02857234386947,0.362685363487791,1.90648542957826,0.692490669286637,66.4816302765479,99.6866070116261,98.5130382907747,99.3377932642449,98.5029112324986,97.2409339739021,96.6913085107263,..
External health expenditure channeled through government (% of external health expenditure),SH.XPD.EHEX.EH.ZS,Colombia,COL,..,..,..,20.4261554834487,3.91270853365306,0.0480247287058435,0.870236393705846,1.09474293283207,1.13261526749954,0.623812240979056,..,..,..,..,..,..,..,..
External health expenditure channeled through government (% of external health expenditure),SH.XPD.EHEX.EH.ZS,Costa Rica,CRI,..,..,..,29.6112630777071,1.16641977724879,3.15108282071851,31.0616153548605,3.99893613333235,61.3450455563752,66.6244322764695,0,42.9961188460613,3.0568595096889,2.07134236977691,0,53.8654106340568,98.0865753753926,..
External health expenditure channeled through government (% of external health expenditure),SH.XPD.EHEX.EH.ZS,Bolivia,BOL,..,..,..,61.1280347707049,61.5410117943505,67.996250199392,84.4865418580306,72.4879710036718,81.3357590886136,77.8225551907142,37.3184775131814,30.152010864359,37.9873720668545,14.4436295307457,11.5976808513024,12.4386112550461,79.0700842047193,..
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,Argentina,ARG,..,..,..,0.21591138,1.34768766,4.38023966,0.89638271,19.51307858,4.62351368,1.47984713,6.7666975,4.32904273,3.54634758,6.61789519,3.40863987,2.31450606,2.47893679,..
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,Colombia,COL,..,..,..,0.02341129,0.06472257,1.17671798,2.40474901,1.98284739,1.98739479,1.70365975,..,..,..,..,..,..,..,..
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,Costa Rica,CRI,..,..,..,2.7538119,3.21580219,1.06968092,0.9639864,0.6713376,0.54783476,0.32110067,0.19835627,0.05574278,0.24695574,0.4570961,0.05604323,0.0095393,1.29420153,..
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,Bolivia,BOL,..,..,..,2.68814455,2.8750116,3.03086922,4.13974947,4.26395298,3.93367926,3.21517521,4.75410845,5.9915516,6.66902265,4.90446136,3.73493391,2.71156536,6.79579749,..
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,Argentina,ARG,..,..,..,0.325291017034376,2.09794387253503,16.2601533239218,2.90452380997418,55.2851934301813,12.161977277838,3.70892069993583,10.0226176975758,5.82109879448973,5.63074893947789,10.6865715844247,6.73147167118213,5.28285781136435,5.9971028696032,..
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,Colombia,COL,..,..,..,0.0658402790603139,0.190978165979055,3.59802898806479,7.87114832177835,5.64596066894382,4.79716454333376,4.07372272382196,..,..,..,..,..,..,..,..
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,Costa Rica,CRI,..,..,..,5.69676669806024,6.61193261085756,2.22646361922514,2.04645318594207,1.41837506768125,1.15216878078651,0.658992562753695,0.29381451324389,0.0818265546416201,0.392190018535404,0.760745437961445,0.0956946363180884,0.0169170351119408,2.35929651039855,..
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,Bolivia,BOL,..,..,..,9.26327275059545,10.619137241336,12.0025111998993,16.7755531786523,17.0291721782639,15.541172750682,11.4359977598784,10.8858684068049,14.0788432501639,16.2566588926552,12.3283098215195,9.32878033434088,6.94171218370536,17.9498162231232,..
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,Colombia,COL,22.7,..,..,28,..,..,..,..,30.3,..,..,36.4,..,..,..,..,..,..
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,Bolivia,BOL,..,19.5,..,..,..,..,20.2,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,3.034,2.662,2.643,2.591,2.531,2.493,2.451,2.43,2.426,2.4,2.312,2.301,2.241,2.168,2.039,1.994,1.911,1.885
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Colombia,COL,3.082,2.683,2.627,2.572,2.516,2.458,2.395,2.33,2.263,2.198,1.883,1.863,1.843,1.818,1.787,1.765,1.737,1.717
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Costa Rica,CRI,3.205,2.534,2.48,2.412,2.325,2.2,2.137,2.078,2.044,2.014,1.819,1.79,1.754,1.74,1.709,1.632,1.555,1.533
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bolivia,BOL,4.89,4.149,4.09,3.991,3.89,3.802,3.721,3.633,3.558,3.533,2.947,2.886,2.829,2.777,2.73,2.688,2.651,2.618
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Argentina,ARG,3190,7990,7540,7430,6960,4020,3640,3360,4240,5460,12350,12600,12220,13140,12430,11220,9010,9960
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Colombia,COL,1350,2590,2360,2360,2350,2400,2400,2640,3030,3540,8260,7400,6530,6010,6320,6590,5800,6220
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Costa Rica,CRI,1720,3390,3450,3560,3660,3750,4000,4350,4610,5020,10250,10610,11000,11400,11880,12040,11500,12340
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bolivia,BOL,700,970,950,960,940,900,890,940,1000,1090,2780,2900,2970,3020,3290,3440,3120,3290
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Argentina,ARG,4.5942997932,..,..,4.1,..,..,..,..,4,..,4.84,4.96,4.95,4.99,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Colombia,COL,1.3667000532,..,..,..,..,..,1.1000000238,1.2,..,1,1.59,1.61,1.68,1.7,1.71,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Costa Rica,CRI,2.5,1.6799999475,..,1.65,1.61,1.57,1.54,1.5,1.35,1.32,1.17,1.16,1.15,1.14,1.11,1.1,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Bolivia,BOL,1.317800045,..,..,..,..,..,1,1,..,1.1,1.15,1.13,1.27,1.29,..,..,..,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,0.611,0.61736673116684,..,0.602144718170166,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,0.593,0.598653852939606,..,0.60433030128479,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,0.619,0.603258788585663,..,0.628635048866272,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,0.632,0.627702116966248,..,0.613279402256012,..
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,0.609,0.612245380878448,..,0.61432945728302,..
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,0.621,0.616934180259705,..,0.642893075942993,..
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,0.622,0.616489708423615,..,0.602137565612793,..
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,0.589,0.600293040275574,..,0.601318538188934,..
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,0.611,0.609014809131622,..,0.630256474018097,..
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,0.642,0.639261424541473,..,0.624488055706024,..
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,0.613,0.623294174671173,..,0.626364469528198,..
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,0.63,0.624613285064697,..,0.654977440834045,..
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6,0.607228219509125,..,0.59166693687439,..
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,0.58,0.587300300598145,..,0.591710686683655,..
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,0.609,0.596096158027649,..,0.61889111995697,..
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,0.59,0.607066631317139,..,0.591290056705475,..
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,0.579,0.585716128349304,..,0.594833314418793,..
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,0.597,0.590334892272949,..,0.615142703056335,..
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,0.578,0.593780279159546,..,0.578204154968262,..
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,0.539,0.571031987667084,..,0.5786412358284,..
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,0.585,0.581750750541687,..,0.605008602142334,..
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,0.602,0.619519352912903,..,0.604211807250977,..
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,0.573,0.599598526954651,..,0.610185623168945,..
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,0.608,0.599130511283875,..,0.625160992145538,..
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,0.621,0.627047121524811,..,0.611715614795685,..
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,0.606,0.609055161476135,..,0.61637419462204,..
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,0.629,0.610178470611572,..,0.638374447822571,..
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Argentina,ARG,99,98,96,95,92,95,99,99,99,99,99,96,92,95,93,85,75,81
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Colombia,COL,95,85,80,91,87,87,97,92,94,96,89,90,88,91,89,90,89,87
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Costa Rica,CRI,92,88,91,95,91,96,93,97,96,95,95,99,99,99,99,99,99,88
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Bolivia,BOL,65,85,95,92,90,93,96,86,88,87,94,99,96,93,90,80,82,78
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Argentina,ARG,87,84,86,83,83,93,96,98,98,91,94,94,92,86,86,83,74,76
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Colombia,COL,88,73,74,79,80,81,92,89,93,93,90,91,91,92,92,94,88,86
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Costa Rica,CRI,95,85,86,88,91,94,88,90,91,89,91,92,97,96,94,95,97,99
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Bolivia,BOL,41,61,77,75,71,77,88,84,85,83,85,89,87,84,83,75,68,70
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Argentina,ARG,..,..,..,..,..,66,73,81,88,84,94,94,92,86,86,83,74,76
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Colombia,COL,..,75,77,78,80,78,92,89,93,93,90,91,91,92,92,92,88,86
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Costa Rica,CRI,..,86,83,89,80,94,86,89,90,88,91,92,97,97,98,97,95,94
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Bolivia,BOL,..,..,..,77,77,77,80,84,85,83,85,89,87,84,83,75,68,70
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Argentina,ARG,..,49,86,83,83,93,96,98,98,91,94,94,92,86,86,83,74,76
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Colombia,COL,..,62,64,65,55,69,93,89,93,93,90,91,91,92,92,92,88,86
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Costa Rica,CRI,..,26,68,92,89,93,88,90,89,88,91,92,97,96,94,96,97,99
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Bolivia,BOL,..,..,..,77,77,77,80,84,85,83,85,89,87,84,83,75,68,70
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Argentina,ARG,93,95,97,91,89,95,97,99,98,97,95,89,90,89,94,86,77,81
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Colombia,COL,82,78,79,88,93,93,93,92,94,95,91,94,93,93,95,95,90,86
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Costa Rica,CRI,90,83,88,82,82,94,89,88,89,90,95,93,93,96,94,95,95,89
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bolivia,BOL,53,65,79,84,88,91,96,90,89,88,89,95,94,83,89,79,74,75
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Argentina,ARG,..,..,..,56,56,83,80,93,88,91,96,87,88,89,99,84,71,79
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Colombia,COL,..,..,..,84,83,93,70,70,73,85,88,86,87,89,88,89,88,86
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,90,90,87,93,93,93,81,69
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38,44,46,56
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Argentina,ARG,90,90,91,88,85,94,95,91,95,92,92,93,87,84,84,83,74,74
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Colombia,COL,93,75,77,82,83,83,92,89,93,94,90,91,91,92,92,94,88,86
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Costa Rica,CRI,95,85,84,80,92,94,88,90,91,89,91,92,97,96,94,96,97,99
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Bolivia,BOL,50,59,79,74,71,76,82,84,84,82,85,88,87,83,83,75,68,70
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,Argentina,ARG,0.3,0.32,0.3,0.28,0.29,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.26
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,Colombia,COL,0.27,0.52,0.51,0.49,0.43,0.44,0.4,0.4,0.4,0.39,0.37,0.37,0.36,0.34,0.34,0.35,0.34,0.33
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,Costa Rica,CRI,0.17,0.23,0.24,0.24,0.25,0.25,0.26,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.3,0.3,0.31
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,Bolivia,BOL,0.06,0.27,0.23,0.19,0.16,0.16,0.15,0.14,0.14,0.14,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Argentina,ARG,0.31,0.32,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.21
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Colombia,COL,0.25,0.48,0.47,0.44,0.39,0.39,0.36,0.36,0.36,0.35,0.33,0.33,0.33,0.31,0.31,0.31,0.3,0.3
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Costa Rica,CRI,0.15,0.21,0.21,0.22,0.23,0.23,0.24,0.25,0.26,0.26,0.32,0.33,0.33,0.34,0.35,0.36,0.36,0.37
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Bolivia,BOL,0.13,0.64,0.53,0.45,0.38,0.36,0.34,0.34,0.33,0.32,0.28,0.27,0.26,0.25,0.25,0.23,0.22,0.22
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,Argentina,ARG,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,Colombia,COL,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,Costa Rica,CRI,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,Bolivia,BOL,0.02,0.12,0.1,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,Argentina,ARG,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,Colombia,COL,0.14,0.28,0.28,0.26,0.23,0.23,0.22,0.21,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,Costa Rica,CRI,0.09,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.19,0.19,0.19,0.2,0.2,0.2,0.21,0.21
